"Default","An unexpected error occurred. Please contact us to get further information."
"HPError-100.100.101","Please verify your payment data"
"HPError-100.100.303","Card expired"
"HPError-100.100.500","Please verify your payment data"
"HPError-100.396.101","You have cancelled the transaction."
"HPError-100.396.102","You did not confirm the transaction."
"HPError-100.400.110","Please choose another payment method"
"HPError-800.100.151","Please choose another payment method"
"HPError-800.100.152","Please choose another payment method"
"HPError-800.100.153","Please verify your payment data"
"HPError-800.100.157","Please verify your payment data"
"HPError-800.100.159","Please choose another payment method"
"HPError-800.100.160","Please choose another payment method"
"HPError-800.100.168","Please choose another payment method"
"HPError-800.100.171","Please choose another payment method"
"HPError-800.300.101","Please choose another payment method"
